data_da_ocorrencia,crimes_sexuais
2014-01-01,43
2014-01-02,5
2014-01-03,3
2014-01-04,3
2014-01-05,8
2014-01-06,7
2014-01-07,6
2014-01-08,3
2014-01-09,6
2014-01-10,8
2014-01-11,6
2014-01-12,5
2014-01-13,8
2014-01-14,7
2014-01-15,10
2014-01-16,9
2014-01-17,4
2014-01-18,7
2014-01-19,8
2014-01-20,5
2014-01-21,7
2014-01-22,6
2014-01-23,8
2014-01-24,5
2014-01-25,3
2014-01-26,3
2014-01-27,6
2014-01-28,8
2014-01-29,2
2014-01-30,6
2014-01-31,4
2014-02-01,30
2014-02-02,7
2014-02-03,18
2014-02-04,4
2014-02-05,5
2014-02-06,5
2014-02-07,7
2014-02-08,6
2014-02-09,5
2014-02-10,3
2014-02-11,6
2014-02-12,6
2014-02-13,6
2014-02-14,8
2014-02-15,9
2014-02-16,8
2014-02-17,4
2014-02-18,5
2014-02-19,5
2014-02-20,11
2014-02-21,4
2014-02-22,10
2014-02-23,6
2014-02-24,7
2014-02-25,6
2014-02-26,3
2014-02-27,8
2014-02-28,9
2014-03-01,14
2014-03-02,12
2014-03-03,8
2014-03-04,5
2014-03-05,7
2014-03-06,4
2014-03-07,12
2014-03-08,10
2014-03-09,5
2014-03-10,3
2014-03-11,9
2014-03-12,8
2014-03-13,11
2014-03-14,10
2014-03-15,8
2014-03-16,13
2014-03-17,4
2014-03-18,9
2014-03-19,6
2014-03-20,7
2014-03-21,7
2014-03-22,12
2014-03-23,6
2014-03-24,4
2014-03-25,6
2014-03-26,12
2014-03-27,6
2014-03-28,11
2014-03-29,4
2014-03-30,4
2014-03-31,4
2014-04-01,22
2014-04-02,4
2014-04-03,8
2014-04-04,6
2014-04-05,5
2014-04-06,13
2014-04-07,10
2014-04-08,4
2014-04-09,8
2014-04-10,7
2014-04-11,8
2014-04-12,4
2014-04-13,9
2014-04-14,8
2014-04-15,5
2014-04-16,7
2014-04-17,6
2014-04-18,3
2014-04-19,5
2014-04-20,4
2014-04-21,12
2014-04-22,6
2014-04-23,8
2014-04-24,5
2014-04-25,6
2014-04-26,11
2014-04-27,8
2014-04-28,7
2014-04-29,9
2014-04-30,7
2014-05-01,11
2014-05-02,6
2014-05-03,8
2014-05-04,10
2014-05-05,5
2014-05-06,16
2014-05-07,4
2014-05-08,5
2014-05-09,6
2014-05-10,12
2014-05-11,9
2014-05-12,9
2014-05-13,9
2014-05-14,10
2014-05-15,13
2014-05-16,5
2014-05-17,13
2014-05-18,11
2014-05-19,9
2014-05-20,6
2014-05-21,5
2014-05-22,8
2014-05-23,3
2014-05-24,6
2014-05-25,3
2014-05-26,5
2014-05-27,5
2014-05-28,8
2014-05-29,11
2014-05-30,3
2014-05-31,10
2014-06-01,18
2014-06-02,11
2014-06-03,9
2014-06-04,7
2014-06-05,5
2014-06-06,6
2014-06-07,6
2014-06-08,8
2014-06-09,7
2014-06-10,3
2014-06-11,3
2014-06-12,7
2014-06-13,10
2014-06-14,7
2014-06-15,3
2014-06-16,13
2014-06-17,7
2014-06-18,3
2014-06-19,6
2014-06-20,9
2014-06-21,12
2014-06-22,7
2014-06-23,8
2014-06-24,8
2014-06-25,11
2014-06-26,12
2014-06-27,6
2014-06-28,7
2014-06-29,5
2014-06-30,4
2014-07-01,20
